,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
1064,282258.0,5.8349,5.98,5.79,6.048,5.72,1610082000000,2310,ESTE,268439.0,5.671,5.48,5.65,5.86,5.48,1609736400000,2297
1065,21918001.0,6.7,6.73,6.73,6.78,6.58,1610082000000,48254,ET,27153270.0,6.1183,6.26,6.1,6.32,6.03,1609736400000,58292
1066,2729257.0,126.9572,129.28,126.88,129.9,125.14,1610082000000,30277,ETN,1979028.0,119.2592,120.3,118.75,121.58,117.87,1609736400000,31439
1067,193017.0,8.2923,8.06,8.37,8.5,8.04,1610082000000,1342,ETON,124572.0,8.0612,8.18,8.11,8.26,7.86,1609736400000,1218
1068,8214807.0,7.5359,7.82,7.57,7.83,7.3,1610082000000,32667,ETRN,3759436.0,7.7963,8.0,7.74,8.13,7.69,1609736400000,20230
1069,2470361.0,175.5625,172.91,175.65,179.73,171.76,1610082000000,45096,ETSY,3262013.0,173.2241,179.52,172.08,181.6,168.2516,1609736400000,63403
1070,327830.0,2.5709,2.61,2.62,2.64,2.46,1610082000000,949,ETTX,268638.0,2.4678,2.52,2.5,2.52,2.4,1609736400000,903
1071,93345.0,46.862,47.45,46.28,47.69,46.25,1610082000000,1141,EVA,63559.0,45.2408,45.43,45.19,45.725,44.8,1609736400000,704
1072,365377.0,149.8015,147.62,149.02,152.93,146.81,1610082000000,6918,EVBG,316631.0,146.3951,148.84,147.49,149.85,143.34,1609736400000,8625
1073,11571.0,28.6247,29.2,28.5,29.21,28.1,1610082000000,290,EVBN,15805.0,27.3446,27.54,27.44,28.05,27.0,1609736400000,396
1074,175642.0,2.9389,3.07,2.94,3.15,2.88,1610082000000,1121,EVC,268989.0,2.7934,2.75,2.82,2.84,2.715,1609736400000,1459
1075,238101.0,38.2727,39.49,37.99,39.49,37.51,1610082000000,3365,EVER,225173.0,37.2118,37.59,36.98,37.88,36.87,1609736400000,2971
1076,2138457.0,2.5217,2.55,2.55,2.59,2.43,1610082000000,7081,EVFM,2590252.0,2.4833,2.41,2.55,2.57,2.37,1609736400000,7881
1077,367115.0,16.95,17.25,16.99,17.435,16.47,1610082000000,3620,EVH,481569.0,16.1157,16.15,16.24,16.33,15.8001,1609736400000,3828
1078,3801.0,32.9289,32.3001,33.0,33.14,32.3001,1610082000000,209,EVI,15515.0,22.4589,21.81,22.81,22.84,21.81,1593576000000,431
1079,214624.0,2.5862,2.65,2.57,2.662,2.53,1610082000000,721,EVOK,195725.0,2.6672,2.66,2.7,2.78,2.575,1609736400000,749
