,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,currency_symbol,base_currency_symbol,base_currency_name,Market Cap,IPO Year,Sector,Industry
159,ADER,26 Capital Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001822912,BBG00Z486423,BBG00Z486502,2022-03-22T00:00:00Z,,,,337218750.0,2021.0,,
162,ADES,"Advanced Emissions Solutions, Inc",stocks,us,XNAS,CS,True,usd,0001515156,BBG000JFNL85,BBG001S7XN59,2022-03-22T00:00:00Z,,,,122466500.0,,Basic Industries,Industrial Specialties
163,ADEX,Adit EdTech Acquisition Corp,stocks,us,XNYS,CS,True,usd,0001830029,BBG00YPSML05,BBG00YPSMLV1,2022-03-22T00:00:00Z,,,,340173450.0,2021.0,,
167,ADGI,"Adagio Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001832038,BBG00W4ML039,BBG00W4ML048,2022-03-22T00:00:00Z,,,,552920750.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
168,ADI,"Analog Devices, Inc.",stocks,us,XNAS,CS,True,usd,0000006281,BBG000BB6G37,BBG001S5ND38,2022-03-22T00:00:00Z,,,,85535857999.0,,Technology,Semiconductors
169,ADIL,"Adial Pharmaceuticals, Inc",stocks,us,XNAS,CS,True,usd,0001513525,BBG00HNGDTR4,BBG00HNGDTS3,2022-03-22T00:00:00Z,,,,44591649.0,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
172,ADM,Archer Daniels Midland Company,stocks,us,XNYS,CS,True,usd,0000007084,BBG000BB6WG8,BBG001S5ND74,2022-03-22T00:00:00Z,,,,47210748717.0,,,
173,ADMA,"ADMA Biologics, Inc.",stocks,us,XNAS,CS,True,usd,0001368514,BBG002NCK5M5,BBG002NCK5N4,2022-03-22T00:00:00Z,,,,334841627.0,,Health Care,Biotechnology: Pharmaceutical Preparations
175,ADMP,Adamis Pharmaceuticals Corporation,stocks,us,XNAS,CS,True,usd,0000887247,BBG000BYB544,BBG001S7DWV2,2022-03-22T00:00:00Z,,,,91758529.0,,Health Care,Biotechnology: Pharmaceutical Preparations
176,ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001744494,BBG00MDV8X34,BBG00MDV8XV3,2022-03-22T00:00:00Z,,,,60088332.0,2018.0,,
177,ADNT,Adient plc Ordinary Shares,stocks,us,XNYS,CS,True,usd,0001670541,,,2022-03-22T00:00:00Z,,,,3608703712.0,2016.0,Capital Goods,Auto Parts:O.E.M.
179,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001824884,,,2022-03-22T00:00:00Z,,,,,,,
182,ADP,Automatic Data Processing,stocks,us,XNAS,CS,True,usd,0000008670,BBG000JG0547,BBG001S82KF6,2022-03-22T00:00:00Z,,,,90179517943.0,,Miscellaneous,Business Services
183,ADPT,Adaptive Biotechnologies Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001478320,BBG001J2PFF5,BBG001V0GG18,2022-03-22T00:00:00Z,,,,1813687453.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
184,ADRA,Adara Acquisition Corp.,stocks,us,XASE,CS,True,usd,0001823584,BBG00YB0X2R2,BBG00YB0X2S1,2022-03-22T00:00:00Z,,,,141881250.0,2021.0,,
187,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,stocks,us,XNAS,ETF,True,usd,0001169717,BBG000FQ6838,BBG001SBZBZ1,2022-03-22T00:00:00Z,,,,,,,
188,ADRT,Ault Disruptive Technologies Corporation,stocks,us,XASE,CS,True,usd,0001864032,BBG013DRDYC6,BBG013DRDYD5,2022-03-22T00:00:00Z,,,,142887500.0,2022.0,,
191,ADS,Alliance Data Systems Corporation,stocks,us,XNYS,CS,True,usd,0001101215,BBG000BFNR17,BBG001S78Z50,2022-03-22T00:00:00Z,,,,3123257569.0,2001.0,Finance,Diversified Financial Services
