,0
893,0001843370
894,0000834365
895,0001846017
896,0001689657
897,0001378590
898,0001364742
899,0001280058
900,0000009389
901,0001546417
902,0001855747
903,0001842384
904,0001429764
905,0001600132
906,0001498403
907,0001823200
908,0001827328
909,0001259942
910,0001831006
911,0001293971
912,0001233681
913,0000890541
914,0001462056
915,0001347426
916,0001848020
917,0001867757
918,0001830043
919,0001314966
920,0001840439
921,0001785971
922,0000009092
923,0000073290
924,0001403475
925,0001048477
926,0001725872
927,0000014272
928,0001536592
929,0001021882
930,0001634117
931,0001576169
932,0001411690
933,0001845942
934,0001424182
935,0001852332
936,0001472494
937,0001191070
938,0001792267
939,0000009631
940,0000846546
941,0001808898
942,0001776985
943,0001137390
944,0001818089
945,0001838544
946,0001494582
947,0001856961
948,0001826889
949,0001320375
950,0000046195
951,0000875357
952,0001641281
953,0001816815
954,0001450011
955,0000034067
956,0001610250
957,0001715497
958,0001005516
959,0001275101
960,0001840572
961,0001372612
962,0001828672
963,0001624512
964,0000313807
965,0001856724
966,0001597264
967,0001708301
968,0000763901
969,0001913971
970,0000850033
971,0001133818
972,0001768946
973,0001085359
974,0001815021
975,0001383312
976,0001865120
977,0001867834
978,0001772016
979,0000842717
980,0000746598
981,0001891101
982,0001158399
983,0001847351
984,0001854401
985,0001861449
986,0001817640
987,0001487197
988,0001122491
989,0001442626
990,0000014177
991,0001844211
992,0001067983
993,0001871638
994,0001049782
995,0001109354
996,0001787518
997,0001866757
998,0001784797
999,0000010048
1000,0000079282
1001,0001774983
1002,0001866581
1003,0001781755
1004,0001839360
1005,0001650575
1006,0001717547
1007,0000014846
1008,0001505497
1009,0000826020
1010,0001581068
1011,0001705873
1012,0001676238
1013,0001027552
1014,0001851908
1015,0001657201
1016,0001787414
1017,0001471055
1018,0000010329
1019,0001730773
1020,0001853084
1021,0001530766
1022,0001748824
1023,0001846804
1024,0001486298
1025,0001621434
1026,0001698287
1027,0001054721
1028,0001130144
1029,0001616678
1030,0001768666
1031,0001746129
1032,0000885725
1033,0001031308
1034,0001343793
1035,0001720893
1036,0001543268
1037,0001718224
1038,0001710350
1039,0001517496
1040,0001436229
1041,0001630113
1042,0001572661
1043,0001429937
1044,0001303523
1045,0000946454
1046,0000925683
1047,0001735556
1048,0001774155
1049,0001528437
1050,0001471727
1051,0001832415
1052,0001064728
1053,0001815086
1054,0000748592
1055,0001379384
1056,0001668717
1057,0001528988
1058,0001714174
1059,0001579298
1060,0000314489
1061,0001551895
1062,0001734713
1063,0000315858
1064,0001013131
1065,0001665988
1066,0001611747
1067,0001630805
1068,0000908255
1069,0001821146
1070,0001878074
1071,0001505065
1072,0001341317
1073,0001854863
1074,0001120370
1075,0001505732
1076,0001504545
1077,0001847590
1078,0001788257
1079,0001782107
1080,0001064642
1081,0001486957
1082,0001393818
1083,0001301787
1084,0001061630
1085,0001298699
1086,0001037540
1087,0001780097
1088,0001736035
1089,0001702750
1090,0000906553
1091,0001001171
1092,0001181187
1093,0001852633
1094,0001655210
1095,0001801417
1096,0001354866
1097,0001677940
1098,0001842566
1099,0001842827
1100,0001828972
1101,0000915840
1102,0001625414
